id,sku,title,vendor,product_type,super_category,primary_category,product_category_type,collection_name,colour_finish,material,grade_of_material,style,installation_type,application_location,handle_type,handle_count,product_range,overall_width_mm,overall_depth_mm,overall_height_mm,overall_length_mm,weight_kg,flow_rate_lpm,water_pressure_min_kpa,water_pressure_max_kpa,tap_hole_size_mm,wels_rating,is_lead_free,lead_free_compliance,warranty_years,warranty_url,product_url
6306,1.9402.00.0.01,"Brodware Minim Basin Mixer - Chrome - 1.9402.00.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Minim,Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/minim-basin-mixer/
6343,1.8002.00.3.01,"Brodware Neu England Basin Mixer Lever - Chrome - 1.8002.00.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","Neu England",Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/neu-england-basin-mixer-5/
6344,1.8003.00.3.01,"Brodware Neu England Basin Mixer Metal Single Lever - Chrome - 1.8003.00.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","Neu England",Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/neu-england-basin-mixer-3/
6345,1.8002.00.4.01,"Brodware Neu England Basin Mixer White Porcelain Lever - Chrome - 1.8002.00.4.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","Neu England",Chrome,"Solid Brass",,,"Hob Mounted",,,,,115,115,130,,2.2,7.5,150,500,35,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/neu-england-basin-mixer-5/
6358,1.8004.00.3.01,"Brodware Neu England Basin Tap Metal Levers - Chrome - 1.8004.00.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","Neu England",Chrome,"Solid Brass",,,"Hob Mounted",,,,,50,200,150,,1.4,9.0,150,500,1,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/neu-england-basin-mixer-4/
6359,1.8004.00.4.01,"Brodware Neu England Basin Tap White Porcelain Lever - Chrome - 1.8004.00.4.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer","Neu England",Chrome,"Solid Brass",,,"Wall Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/neu-england-basin-set/
6408,1.8503.00.4.01,"Brodware Paris Basin Mixer - Chrome - 1.8503.00.4.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Paris,Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/paris-basin-mixer-2/
6409,1.8502.00.4.01,"Brodware Paris Basin Mixer 1.8502.00.4.G1 - Chrome - 1.8502.00.4.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Paris,Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/paris-basin-mixer-3/
6437,1.7502.00.0.01,"Brodware SQ75 Basin Mixer 1.7502.00.0.G1 - Chrome - 1.7502.00.0.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",,Chrome,"Solid Brass",,,"Hob Mounted",,,,,,,,,,,,,,6,0,,20,https://www.brodware.com/warranty/,
6455,1.8102.00.3.01,"Brodware Winslow Basin Mixer Metal Lever - Chrome - 1.8102.00.3.01",Brodware,,Tapware,"Basin Tapware","Basin Mixer",Winslow,Chrome,"Solid Brass",,,"Hob Mounted",,,,,160,145,160,,2.0,,,,,6,0,,20,https://www.brodware.com/warranty/,https://www.brodware.com/product/winslow-basin-mixer-5/
